subsector_name,n,share,geo
Arts & Culture,310,0.05868989019310867,Inland Northwest
Education,555,0.10507383566830746,Inland Northwest
Environment & Animals,238,0.045058689890193106,Inland Northwest
Health,223,0.042218856493752364,Inland Northwest
Hospitals,8,0.0015145778114350624,Inland Northwest
Human Services,1219,0.23078379401741764,Inland Northwest
International,62,0.011737978038621734,Inland Northwest
Mutual & Membership Benefit,74,0.014009844755774327,Inland Northwest
Public & Societal Benefit,531,0.10053010223400227,Inland Northwest
Religion,454,0.08595229079893979,Inland Northwest
Unclassified,1596,0.302158273381295,Inland Northwest
Universities,12,0.002271866717152594,Inland Northwest
Arts & Culture,3256,0.07532677848467322,Washington (statewide)
Education,4701,0.10875650665124349,Washington (statewide)
Environment & Animals,1939,0.0448582995951417,Washington (statewide)
Health,1660,0.038403701561596296,Washington (statewide)
Hospitals,98,0.0022672064777327933,Washington (statewide)
Human Services,9658,0.2234355118565645,Washington (statewide)
International,638,0.014759976865240023,Washington (statewide)
Mutual & Membership Benefit,389,0.008999421631000579,Washington (statewide)
Public & Societal Benefit,4781,0.11060728744939272,Washington (statewide)
Religion,3131,0.07243493348756506,Washington (statewide)
Unclassified,12899,0.2984152689415847,Washington (statewide)
Universities,75,0.001735106998264893,Washington (statewide)
Arts & Culture,606,0.05719679093912223,Idaho (statewide)
Education,1014,0.09570552147239264,Idaho (statewide)
Environment & Animals,506,0.047758376592732424,Idaho (statewide)
Health,527,0.04974044360547428,Idaho (statewide)
Hospitals,29,0.002737140160453044,Idaho (statewide)
Human Services,2526,0.23841434638980652,Idaho (statewide)
International,107,0.010099103350637092,Idaho (statewide)
Mutual & Membership Benefit,130,0.012269938650306749,Idaho (statewide)
Public & Societal Benefit,1239,0.1169419537517697,Idaho (statewide)
Religion,770,0.0726757904672015,Idaho (statewide)
Unclassified,3125,0.2949504483246815,Idaho (statewide)
Universities,16,0.001510146295422369,Idaho (statewide)
